TIME_SYSTEM_ON,ACTIVITY,GAIT_SUBPHASE,ACTUATOR_POSITION,TORQUE_ESTIMATE,ACTUATOR_SETPOINT,LOADCELL,LINEAR_ACC_X_LOCAL,LINEAR_ACC_Y_LOCAL,LINEAR_ACC_Z_LOCAL,GRAVITY_VECTOR_X,GRAVITY_VECTOR_Y,GRAVITY_VECTOR_Z,KNEE_ANGLE
2903523308.00000000, 2920300488.00000000, 180.00000000, -0.00000003, -0.00000013, -0.00000000, 0.00000000, 774787750677774063370240.00000000, 0.00000000, 0.00000000, -862034765807616.00000000, -4070842183642369524506955285289500672.00000000, -3288404992.00000000, 2.81357002
4455.00000000, 0.00000000, 3.00000000, 24.18098450, 0.20609112, 0.47541663, 6.20379639, 0.20999999, 0.15000001, 1.96000004, -1.69000006, 9.51000023, -1.64999998, -10.07670403
4455.00000000, 0.00000000, 3.00000000, 21.08322144, 2.75147200, 8.52969456, 4.75131226, -0.73000002, 0.38999999, 2.27999997, -2.34999990, 9.35000038, -1.71000004, -14.10830975
4455.00000000, 0.00000000, 3.00000000, 19.61122131, 10.85725212, 44.73047638, 5.59875488, -1.66999996, -0.08000000, 2.13000011, -2.99000001, 9.15999985, -1.75999999, -18.07767487
4455.00000000, 0.00000000, 3.00000000, 20.81958008, 3.64434052, 16.74418259, 4.95889282, 10.98999977, 3.70000005, 1.77999997, -3.41000009, 9.00000000, -1.79999995, -20.75113869
4455.00000000, 0.00000000, 3.00000000, 23.49992371, -5.77757025, -22.73578262, 5.09707642, 0.08000000, -1.90999997, 0.23999999, -3.61999989, 8.92000008, -1.80999994, -22.08876610
4455.00000000, 0.00000000, 3.00000000, 24.46659851, -2.86465955, -13.59942722, 4.91183472, 5.01999998, -1.78999996, 3.20000005, -3.78999996, 8.85000038, -1.80999994, -23.18295670
4455.00000000, 0.00000000, 3.00000000, 24.40069580, 2.48567796, 8.88246346, 5.01394653, 2.68000007, 1.66999996, 1.15999997, -3.78999996, 8.85000038, -1.79999995, -23.18295670
4455.00000000, 0.00000000, 3.00000000, 24.68629456, 4.64147472, 18.20050621, 6.19726562, 3.51999998, -1.50999999, 2.99000001, -3.71000004, 8.88000011, -1.78999996, -22.67481804
4455.00000000, 0.00000000, 3.00000000, 26.31207275, 1.42947268, 7.12176752, 6.56280518, 2.19000006, -2.85999990, 3.98000002, -3.68000007, 8.89999962, -1.78999996, -22.46426964
4455.00000000, 0.00000000, 3.00000000, 28.11361694, -0.49173889, -2.66535878, 5.58255005, 0.27000001, -0.41000000, 1.38000000, -3.59999990, 8.93000031, -1.77999997, -21.95610809
4455.00000000, 0.00000000, 3.00000000, 29.82728577, -0.31726873, -1.26907492, 6.84045410, 1.02999997, 1.71000004, 2.23000002, -3.54999995, 8.96000004, -1.75999999, -21.61373138
