TIME_SYSTEM_ON, GAIT_PHASE, GAIT_SUBPHASE, ACTUATOR_POSITION, TORQUE_ESTIMATE, ACTUATOR_SETPOINT, LOADCELL, LINEAR_ACC_X_LOCAL, LINEAR_ACC_Y_LOCAL, LINEAR_ACC_Z_LOCAL, GRAVITY_VECTOR_X, GRAVITY_VECTOR_Y, GRAVITY_VECTOR_Z, KNEE_ANGLE
22619153.00000000, 1.00000000, 1.00000000, 0.00000000, 0.00291848, -0.00000000, 33607748.00000000, 0.00000000, -152024679186432.00000000, 126844149760.00000000, -230890563288216633344.00000000, -495057212156006941121392964272128.00000000, -230890563288216633344.00000000, 0.00000000
345.00000000, 1.00000000, 3.00000000, 30.33259583, -0.40452692, -0.95180619, 0.27984619, 0.03000000, 0.03000000, -0.17000000, -0.54000002, 4.53000021, 8.67000008, 30.24769592
345.00000000, 1.00000000, 3.00000000, 30.33259583, -0.49173889, -0.69006562, 0.60086060, 0.10000000, 0.03000000, -0.14000000, -0.58999997, 4.51999998, 8.67000008, 30.22939873
345.00000000, 1.00000000, 3.00000000, 30.31062317, -0.31726873, -1.47521663, -0.05038452, 0.07000000, -0.04000000, -0.04000000, -0.64999998, 4.51000023, 8.67000008, 30.24403381
345.00000000, 1.00000000, 3.00000000, 30.31062317, -0.31726873, -0.69006562, 0.89077759, 0.05000000, -0.02000000, 0.00000000, -0.70999998, 4.51000023, 8.67000008, 30.24403381
345.00000000, 1.00000000, 3.00000000, 30.35455322, -0.49173889, -1.21358073, 0.46063232, 0.04000000, 0.01000000, -0.03000000, -0.79000002, 4.50000000, 8.67000008, 30.25135612
346.00000000, 1.00000000, 3.00000000, 30.31062317, -0.31726873, -0.95180619, 0.34350586, 0.03000000, 0.07000000, -0.04000000, -0.87000000, 4.48999977, 8.65999985, 30.24403381
346.00000000, 1.00000000, 3.00000000, 30.35455322, -0.31726873, -0.16664881, 0.14358521, 0.04000000, 0.09000000, -0.04000000, -0.95999998, 4.46999979, 8.67000008, 30.28796387
346.00000000, 1.00000000, 3.00000000, 30.31062317, -0.31726873, -0.95180619, -0.10870361, 0.08000000, -0.03000000, 0.03000000, -1.07000005, 4.44000006, 8.67000008, 30.24403381
346.00000000, 1.00000000, 3.00000000, 30.35455322, -0.57902902, -0.42834955, 0.31814575, 0.22000000, -0.03000000, 0.07000000, -1.22000003, 4.40000010, 8.67000008, 30.23304558
