TIME_SYSTEM_ON, GAIT_PHASE, GAIT_SUBPHASE, ACTUATOR_POSITION, TORQUE_ESTIMATE, ACTUATOR_SETPOINT, LOADCELL, LINEAR_ACC_X_LOCAL, LINEAR_ACC_Y_LOCAL, LINEAR_ACC_Z_LOCAL, GRAVITY_VECTOR_X, GRAVITY_VECTOR_Y, GRAVITY_VECTOR_Z, KNEE_ANGLE
3213507953.00000000, 10.00000000, 32.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
6726.00000000, 1.00000000, 3.00000000, 34.59477234, -0.31726873, -1.47521663, -2.57452393, -0.06000000, -0.03000000, 0.07000000, -9.72999954, -1.08000004, -0.04000000, 34.52818298
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.49173889, -0.95180619, -2.10241699, -0.04000000, -0.03000000, -0.00000000, -9.72999954, -1.08000004, -0.04000000, 34.44763184
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.23002186, -1.21358073, -2.41195679, 0.01000000, 0.00000000, -0.00000000, -9.72999954, -1.08000004, -0.04000000, 34.50254822
6727.00000000, 1.00000000, 3.00000000, 34.52885437, -0.14278319, -1.21358073, -1.86114502, 0.05000000, 0.00000000, 0.03000000, -9.72999954, -1.08000004, -0.04000000, 34.49888611
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.49173889, -1.21358073, -2.44781494, 0.03000000, 0.00000000, 0.06000000, -9.72999954, -1.08000004, -0.04000000, 34.44763184
6727.00000000, 1.00000000, 3.00000000, 34.52885437, -0.57902902, -1.47521663, -2.62658691, 0.01000000, 0.00000000, 0.07000000, -9.72999954, -1.08000004, -0.04000000, 34.40734863
6727.00000000, 1.00000000, 3.00000000, 34.50688171, -0.49173889, -1.47521663, -2.07516479, 0.03000000, 0.00000000, 0.00000000, -9.72999954, -1.08000004, -0.04000000, 34.40368652
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.40452692, -1.21358073, -1.71612549, -0.02000000, 0.01000000, 0.00000000, -9.72999954, -1.08000004, -0.04000000, 34.46592712
6727.00000000, 1.00000000, 3.00000000, 34.52885437, -0.40452692, -1.21358073, -2.80599976, -0.05000000, 0.00000000, 0.02000000, -9.72999954, -1.08000004, -0.04000000, 34.44395447
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.23002186, -1.21358073, -2.49218750, 0.04000000, -0.01000000, 0.03000000, -9.72999954, -1.08000004, -0.04000000, 34.50254822
6727.00000000, 1.00000000, 3.00000000, 34.57279968, -0.31726873, -1.73708701, -1.81692505, 0.08000000, 0.01000000, 0.07000000, -9.72999954, -1.08000004, -0.04000000, 34.50621033
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.40452692, -1.21358073, -2.45184326, -0.01000000, -0.00000000, 0.00000000, -9.72999954, -1.08000004, -0.04000000, 34.46592712
6727.00000000, 1.00000000, 3.00000000, 34.52885437, -0.31726873, -1.47521663, -2.05496216, -0.03000000, 0.01000000, 0.00000000, -9.72999954, -1.08000004, -0.04000000, 34.46226501
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.57902902, -1.21358073, -2.28616333, -0.03000000, -0.00000000, 0.00000000, -9.72999954, -1.08000004, -0.04000000, 34.42932129
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.40452692, -1.21358073, -2.14013672, -0.03000000, 0.00000000, -0.00000000, -9.72999954, -1.08000004, -0.04000000, 34.46592712
6727.00000000, 1.00000000, 3.00000000, 34.57279968, -0.49173889, -1.47521663, -2.34140015, 0.14000000, 0.05000000, 0.07000000, -9.72999954, -1.08000004, -0.04000000, 34.46960449
6727.00000000, 1.00000000, 3.00000000, 34.52885437, -0.49173889, -1.21358073, -1.95141602, -0.02000000, 0.00000000, 0.17000000, -9.72999954, -1.08000004, -0.04000000, 34.42565918
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.49173889, -0.95180619, -1.94308472, 0.00000000, -0.04000000, -0.02000000, -9.72999954, -1.08000004, -0.04000000, 34.44763184
6727.00000000, 1.00000000, 3.00000000, 34.50688171, -0.40452692, -1.21358073, -2.36828613, 0.00000000, 0.04000000, 0.00000000, -9.72999954, -1.08000004, -0.04000000, 34.42198181
6727.00000000, 1.00000000, 3.00000000, 34.52885437, -0.31726873, -1.21358073, -2.00607300, 0.00000000, 0.00000000, 0.03000000, -9.72999954, -1.08000004, -0.04000000, 34.46226501
6727.00000000, 1.00000000, 3.00000000, 34.57279968, -0.31726873, -1.47521663, -2.45516968, 0.00000000, -0.01000000, 0.00000000, -9.72999954, -1.08000004, -0.04000000, 34.50621033
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.31726873, -0.95180619, -2.12170410, 0.02000000, 0.00000000, 0.08000000, -9.72999954, -1.08000004, -0.04000000, 34.48423767
6727.00000000, 1.00000000, 3.00000000, 34.57279968, -0.40452692, -0.95180619, -1.89135742, 0.01000000, 0.00000000, 0.00000000, -9.72999954, -1.08000004, -0.04000000, 34.48789978
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.49173889, -1.21358073, -2.24789429, 0.01000000, -0.02000000, 0.01000000, -9.72999954, -1.08000004, -0.04000000, 34.44763184
6727.00000000, 1.00000000, 3.00000000, 34.52885437, -0.23002186, -1.47521663, -2.13223267, 0.00000000, 0.01000000, 0.02000000, -9.72999954, -1.08000004, -0.04000000, 34.48057556
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.31726873, -1.21358073, -2.31472778, 0.00000000, -0.01000000, 0.03000000, -9.72999954, -1.08000004, -0.04000000, 34.48423767
6727.00000000, 1.00000000, 3.00000000, 34.52885437, -0.49173889, -0.95180619, -1.93884277, -0.04000000, -0.05000000, 0.03000000, -9.72999954, -1.08000004, -0.04000000, 34.42565918
6727.00000000, 1.00000000, 3.00000000, 34.59477234, -0.40452692, -1.73708701, -2.07431030, 0.17000000, 0.03000000, 0.02000000, -9.72999954, -1.08000004, -0.04000000, 34.50987244
6727.00000000, 1.00000000, 3.00000000, 34.52885437, -0.31726873, -1.21358073, -1.50973511, -0.00000000, 0.00000000, 0.01000000, -9.72999954, -1.08000004, -0.04000000, 34.46226501
6727.00000000, 1.00000000, 3.00000000, 34.57279968, -0.31726873, -1.73708701, -2.58618164, 0.03000000, 0.00000000, 0.02000000, -9.72999954, -1.08000004, -0.04000000, 34.50621033
6727.00000000, 1.00000000, 3.00000000, 34.57279968, -0.49173889, -0.42834955, -2.28475952, 0.05000000, -0.00000000, 0.04000000, -9.72999954, -1.08000004, -0.04000000, 34.46960449
6727.00000000, 1.00000000, 3.00000000, 34.52885437, -0.49173889, -1.21358073, -2.31140137, 0.00000000, 0.02000000, 0.01000000, -9.72999954, -1.08000004, -0.04000000, 34.42565918
6727.00000000, 1.00000000, 3.00000000, 34.52885437, -0.31726873, -0.95180619, -2.46179199, 0.00000000, -0.01000000, 0.05000000, -9.72999954, -1.08000004, -0.04000000, 34.46226501
